,L1,L2
1993-07-14,1.339814056664244e-06,2.0679683871296536e-05
1993-07-15,2.9190719334542022e-06,4.2086304233563726e-05
1993-07-16,2.9745535149193916e-06,4.2808148354144616e-05
1993-07-19,1.7133390829119748e-06,2.4310014044239847e-05
1993-07-20,1.6985532583101525e-06,2.425114279950573e-05
1993-07-21,1.384710638807185e-06,2.2050205336183814e-05
1993-07-22,1.3005809198002801e-06,2.1168656819545186e-05
1993-07-23,1.2899424855082788e-06,2.1150286902510815e-05
1993-07-26,1.2899424855082788e-06,2.1150286902510815e-05
1993-07-27,3.133456102086731e-06,4.68487317231185e-05
1993-07-28,3.0634587140297642e-06,4.66867959260323e-05
1993-07-29,3.82969846171382e-06,5.123562323515501e-05
1993-07-30,3.6717750545293576e-06,5.0532482375803415e-05
1993-08-02,3.2062995406856653e-06,4.750860888236197e-05
1993-08-03,3.1864909271056404e-06,4.7485861798629926e-05
1993-08-04,2.860700365903136e-06,4.589864109124424e-05
1993-08-05,2.6820960318918764e-06,4.0259168034575175e-05
1993-08-06,2.73052685748056e-06,4.036064657825807e-05
1993-08-09,2.47009025512582e-06,3.909282567770973e-05
1993-08-10,2.159718696645783e-06,3.3731537219867386e-05
1993-08-11,2.380921831482819e-06,3.689536146838638e-05
1993-08-12,2.602777176373305e-06,3.8591672985364434e-05
1993-08-13,2.6381242336135978e-06,3.864896103433212e-05
1993-08-16,1.96379446231627e-06,3.328156273831138e-05
1993-08-17,1.8268113650046477e-06,3.27438816216259e-05
1993-08-18,1.7704748817375023e-06,3.260745116332769e-05
1993-08-19,1.8095563373158668e-06,3.2791521398125025e-05
1993-08-20,9.011398686250748e-07,1.7133275505981283e-05
1993-08-23,1.153206340418641e-06,1.903251873572141e-05
1993-08-24,1.1188251835145422e-06,1.89211612191653e-05
1993-08-25,7.546720259214346e-07,1.4177246457658511e-05
1993-08-26,7.784351982527501e-07,1.4262028428897367e-05
1993-08-27,8.052102164865845e-07,1.4447839316941208e-05
1993-08-30,8.068835757204612e-07,1.4449374067856316e-05
1993-08-31,8.335581292408597e-07,1.5243623161726774e-05
1993-09-01,6.788516976904513e-07,1.3151668705299447e-05
1993-09-02,1.3875999406600653e-06,2.3347266509152866e-05
1993-09-03,1.2519806261303519e-06,2.256751186547814e-05
1993-09-07,1.2463356883051232e-06,2.2561257570709776e-05
1993-09-08,1.2463356883051232e-06,2.2561257570709776e-05
1993-09-09,1.2463356883051232e-06,2.2561257570709776e-05
1993-09-10,1.2463356883051232e-06,2.2561257570709776e-05
1993-09-13,1.1852872861031368e-06,2.2338663689388788e-05
1993-09-14,5.130010777227185e-07,1.1465353586030043e-05
1993-09-15,5.241486725254107e-07,1.2510672097728771e-05
1993-09-16,5.355578521648132e-07,1.254309270996752e-05
1993-09-17,5.355578521648132e-07,1.254309270996752e-05
1993-09-20,5.284339759591298e-07,1.2530784296788125e-05
1993-09-21,5.856595017744611e-07,1.2889791131171846e-05
1993-09-22,6.870397129873813e-07,1.3821960494522156e-05
1993-09-23,6.870397129873813e-07,1.3821960494522156e-05
1993-09-24,7.275531018279339e-07,1.4141923160230287e-05
1993-09-27,7.496112797028767e-07,1.4218782650706137e-05
1993-09-28,7.400189436475465e-07,1.4194899216010607e-05
1993-09-29,7.156080574913166e-07,1.406712415492079e-05
1993-09-30,1.0863001833969775e-06,1.9388578375957206e-05
1993-10-01,1.0906561200805612e-06,1.939850364134545e-05
1993-10-04,1.1107898486541263e-06,1.9533849841615324e-05
1993-10-05,1.0016174146451042e-06,1.7782789217738562e-05
1993-10-06,6.293645848154978e-07,1.2704553651362102e-05
1993-10-07,6.293645848154978e-07,1.2704553651362102e-05
1993-10-08,6.293645848154978e-07,1.2704553651362102e-05
1993-10-11,6.427160958708594e-07,1.2756321986917575e-05
1993-10-12,4.0051338176842116e-07,8.220237626067734e-06
1993-10-13,3.681573456751988e-07,7.827949232555136e-06
