,L1,L2
2018-10-29,3.7872477666652065e-06,3.846147051712443e-05
2018-10-30,3.779638804377494e-06,3.8455735769994265e-05
2018-10-31,3.891334524901796e-06,3.8993168188862405e-05
2018-11-01,3.85974201778369e-06,3.894535819967407e-05
2018-11-02,3.6429969984902788e-06,3.7566243685490554e-05
2018-11-05,3.6429969984902788e-06,3.7566243685490554e-05
2018-11-06,3.590934837026524e-06,3.7237489247262355e-05
2018-11-07,3.844367579071426e-06,3.8336787938358e-05
2018-11-08,3.7193759203036734e-06,3.7780804568530866e-05
2018-11-09,3.7193759203036734e-06,3.7780804568530866e-05
2018-11-12,3.7193759203036734e-06,3.7780804568530866e-05
2018-11-13,3.6754570957089265e-06,3.7434753231412065e-05
2018-11-14,3.6754570957089265e-06,3.7434753231412065e-05
2018-11-15,3.061039175783849e-06,3.30182383553507e-05
2018-11-16,3.0935109600587714e-06,3.307238410772943e-05
2018-11-19,3.0975262484482764e-06,3.3074941333203743e-05
2018-11-20,5.067316523373166e-06,5.44596323835137e-05
2018-11-21,5.252984595339165e-06,5.496384354529542e-05
2018-11-23,5.834991015047215e-06,6.038875989558678e-05
2018-11-26,6.632563720276189e-06,6.472834311668991e-05
2018-11-27,6.579399343005696e-06,6.468689822028673e-05
2018-11-28,6.389148173377181e-06,6.412029713255079e-05
2018-11-29,6.389148173377181e-06,6.412029713255079e-05
2018-11-30,5.204787324746679e-06,5.573408475280743e-05
2018-12-03,5.0512739664864206e-06,5.5304734947016376e-05
2018-12-04,5.0904492677693605e-06,5.535691196669727e-05
2018-12-06,5.285093595706618e-06,5.6003507886773354e-05
2018-12-07,5.289975990994672e-06,5.6005055562965026e-05
2018-12-10,5.2966977300465975e-06,5.6007745584090785e-05
2018-12-11,5.203432232539773e-06,5.5785619116946785e-05
2018-12-12,5.3293362531431825e-06,5.613663920889786e-05
2018-12-13,5.07339207878473e-06,5.543500151856942e-05
2018-12-14,3.081222006661861e-06,3.463340621934896e-05
2018-12-17,3.0639276557279575e-06,3.460166628938062e-05
2018-12-18,3.6016026474254354e-06,3.89589246017488e-05
2018-12-19,4.441636934882915e-06,4.5340266244680304e-05
2018-12-20,4.432862485386045e-06,4.5445146760078885e-05
2018-12-21,4.429883031534827e-06,4.5443949782486124e-05
2018-12-24,4.384553466203791e-06,4.534947212641179e-05
2018-12-26,4.193739984024929e-06,4.473275772791818e-05
2018-12-27,4.344910711845237e-06,4.5169276999384734e-05
2018-12-28,6.6770040616759924e-06,6.890166570571882e-05
2018-12-31,6.065980038778328e-06,6.665744848634787e-05
2019-01-02,5.912818279308403e-06,6.269160244052471e-05
2019-01-03,5.876060142636827e-06,6.264407975808567e-05
2019-01-04,5.654607927232411e-06,6.189123244246475e-05
2019-01-07,6.254600407920538e-06,6.432228166115895e-05
2019-01-08,3.846303874023063e-06,4.306684836920399e-05
2019-01-09,4.9225994480205725e-06,5.136054784905496e-05
2019-01-10,5.153191468712873e-06,5.1583612631903375e-05
2019-01-11,5.644949545774004e-06,5.374294391549568e-05
2019-01-14,5.776030168179277e-06,5.3523999713994864e-05
2019-01-15,5.353435904524769e-06,5.172475779546879e-05
2019-01-16,5.875722707213021e-06,5.420735759823079e-05
2019-01-17,5.218725908257365e-06,4.968281492174538e-05
2019-01-18,5.071935644395521e-06,4.816489953145719e-05
2019-01-22,5.071935644395521e-06,4.816489953145719e-05
2019-01-23,5.265558056812683e-06,4.864942974440185e-05
2019-01-24,5.347739592582576e-06,4.8811961178875015e-05
2019-01-25,5.382304056162558e-06,4.8926236507306875e-05
2019-01-28,5.290481278553179e-06,4.8765273015287506e-05
2019-01-29,5.456596833303441e-06,5.027479270164453e-05
2019-01-30,5.28557904366005e-06,4.9856213387227794e-05
2019-01-31,5.151750550163827e-06,4.855032296118572e-05
2019-02-01,4.977839800654924e-06,4.831454132236801e-05
2019-02-04,4.732831685490716e-06,4.743166682356461e-05
2019-02-05,4.732831685490716e-06,4.743166682356461e-05
2019-02-06,5.261360653010539e-06,5.2239564697511597e-05
2019-02-07,5.239501651601552e-06,5.20889045615789e-05
2019-02-08,5.353953486892222e-06,5.270909570172215e-05
2019-02-11,5.5916591509038e-06,5.343636733200331e-05
2019-02-12,5.586529936606339e-06,5.339537974654796e-05
2019-02-13,4.154888096243951e-06,4.3788477534611214e-05
2019-02-14,4.661536069951325e-06,4.694604103968917e-05
2019-02-15,4.983734578794172e-06,4.964017441061619e-05
2019-02-19,4.948819781583992e-06,4.94271230809206e-05
2019-02-20,4.681415806316455e-06,4.8376695393502105e-05
2019-02-21,4.0090508682038575e-06,4.293031266820947e-05
2019-02-22,3.7863767847683863e-06,4.2037008305878084e-05
2019-02-25,3.7699573544188913e-06,4.238579365989051e-05
2019-02-26,4.457033880665012e-06,4.8348017581732814e-05
2019-02-27,4.717150664431615e-06,4.9969393083160947e-05
2019-02-28,4.45551220740462e-06,4.906361467469391e-05
2019-03-01,4.45551220740462e-06,4.906361467469391e-05
2019-03-04,4.45551220740462e-06,4.906361467469391e-05
